Date,AFL,ALB,AOS,APD,ATO,BFB,BRO,CHRW,CINF,CLX,CL,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2022-08,0.4,0.0,0.0,0.0,0.68,0.0,0.103,0.0,0.0,0.0,0.0,1.42,0.505,0.0,0.0,0.0,1.72,0.0,1.65,0.0,1.13,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.248,0.0,0.62,0.0,0.85,0.0,0.0,1.08,0.0,0.186667,0.0,0.88
2022-09,0.0,0.395,0.0,1.62,0.0,0.189,0.0,0.55,0.69,0.0,0.0,0.0,0.0,2.2,0.0,1.08,0.0,0.0,0.0,1.31,0.0,1.16,0.44,0.0,0.0,0.0,0.5,0.04,0.248,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,0.0
2022-10,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,1.05,0.37,0.0,0.0,0.0,0.248,0.21,0.0,0.62,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0
2022-11,0.4,0.0,0.0,0.0,0.74,0.0,0.115,0.0,0.0,0.0,0.0,1.42,0.505,0.0,0.67,0.0,1.72,0.0,1.65,0.0,1.13,0.0,0.44,0.0,0.0,1.49,0.0,0.04,0.248,0.0,0.62,0.0,0.85,0.8,0.0,1.08,0.0,0.0,0.19,0.91
2022-12,0.0,0.395,0.0,1.62,0.0,0.206,0.0,0.61,0.69,0.0,0.0,0.0,0.0,2.2,0.0,1.08,0.0,0.0,0.0,1.31,0.0,1.16,0.0,0.0,0.39,0.0,0.51,0.0,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.186667,0.0,0.0
2023-01,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.249,0.22,0.0,0.683,0.0,0.0,0.49,0.0,0.0,0.0,0.19,0.0
2023-02,0.42,0.0,0.0,0.0,0.74,0.0,0.115,0.0,0.0,0.0,0.0,1.51,0.505,0.0,0.0,0.0,1.72,0.0,1.65,0.0,1.13,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.255,0.0,0.62,0.0,0.9,0.0,0.0,1.08,0.0,0.0,0.0,0.91
2023-03,0.0,0.4,0.0,1.75,0.0,0.206,0.0,0.61,0.75,0.0,0.0,0.0,0.0,2.31,0.0,1.08,0.0,0.0,0.0,1.31,0.0,1.18,0.46,0.0,0.0,0.0,0.51,0.04,0.255,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.22,0.19,0.0,0.0
2023-04,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,1.05,0.39,0.0,0.0,0.0,0.255,0.22,0.0,0.683,0.0,0.0,0.49,0.0,0.0,0.0,0.19,0.0
2023-05,0.42,0.0,0.0,0.0,0.74,0.0,0.115,0.0,0.0,0.0,0.0,1.51,0.505,0.0,0.69,0.0,1.86,0.0,1.66,0.0,1.19,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.255,0.0,0.62,0.0,0.9,0.0,0.0,1.08,0.0,0.19,0.0,0.91
