Date,AFL,ALB,AOS,APD,ATO,BF-B,BRO,CHRW,CINF,CL,CLX,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2019-06-14,2923600,966800,1582700,721000,396300,1558400,654400,1365000,505600,2591900,697100,3366800,432700,144600,728600,357000,426700,1680300,2294192,1090500,6548100,1374700,8694300,4437100,830000,3252163,1553600,39442800,1460383,1649600,811500,338900,717900,779100,1614800,4300800,792800,13577700,170000,8575900
2019-06-17,1769600,1008100,1691600,838000,312600,2009200,803900,1074400,854700,2702200,786700,4219100,429900,194800,739500,317200,447000,2045900,2295029,782200,5562800,2083200,12322400,4212700,1000000,2132827,2588500,27604000,1439537,1073600,1020600,318200,823100,501200,1640700,4194500,808300,12441000,245600,9355700
2019-06-18,2554900,1230200,2038800,941700,550800,1369500,930500,1084400,697900,2677100,766000,4884300,642700,244500,878900,339900,417400,2053400,3048776,1074100,7122700,1780100,9221100,3960900,2000000,4333108,2863200,58192000,2065135,1431500,1161600,419900,796200,1133000,1382400,4389100,1045900,14733600,191300,10091500
2019-06-19,2619300,1805400,1210300,1342500,634200,1217500,854900,852300,420400,3096500,826600,3847100,609200,285500,1016000,399600,453800,2374600,2491990,890300,6393400,2401000,9414100,5558100,1000000,3321770,5546800,33164400,2107963,1170800,1156600,711600,1130400,605300,2163100,4088200,1346600,11773800,200400,9757400
2019-06-20,3248600,1999900,1525600,1397200,391400,1018300,771700,932100,898700,2754500,1034500,7771700,954700,373700,1173500,356300,394600,2411900,3212266,1051200,7335800,1853000,10656600,5355300,1000000,3664783,3689600,35016800,2038922,1367900,1506100,841000,1339900,742500,2292500,3814800,1185200,15004500,158700,16229700
2019-06-21,4826900,1889800,2274100,1542200,1821100,2412200,1323200,1626500,1328200,6209400,1226500,14287900,1344000,599500,1425800,1003400,638300,3176400,5531980,1484300,11272200,2792500,21264400,7188200,2000000,5837437,4127000,43442800,5688384,2559700,2309900,1041100,1519500,1470900,3988300,7847600,1673200,39535800,382700,23108100
2019-06-24,3910700,988000,1526700,765100,915500,1286900,1083700,1076600,846600,3508100,589400,5542600,656000,263700,1140700,398700,381600,3532200,2286556,1062800,5894700,1468400,10780000,4920200,1000000,3243432,2439600,28294800,1797022,904300,1021200,700500,799300,896500,1863900,3059000,913200,18098400,178300,10011800
2019-06-25,2674500,1372700,1023400,926300,814200,1247900,713300,965200,363100,3178100,572700,4713300,709200,212500,999800,329400,473600,5116700,2930055,1085200,7517000,1212800,11519900,4767800,2000000,3268907,3280500,31186800,1866269,930600,710900,840500,1152300,983200,1728500,5061300,594800,18315000,256800,9740000
2019-06-26,2779200,1252100,1311500,843700,832300,1063100,558700,1229300,725900,2831100,791500,5054800,596300,319900,1130200,761600,360900,4340300,2389692,1368200,7674100,1306200,12405100,4399900,3000000,2167391,3326900,58407200,2277211,1160500,797800,478600,918900,922500,1685800,2978100,674100,12485100,263900,11365500
2019-06-27,2979300,778900,1309700,738700,573800,811900,588700,1074100,691700,2470800,554200,3551700,788200,313600,743600,393300,416200,1350500,2248691,811800,5233500,1286700,12374900,3395800,4000000,2055326,1593900,44544000,1362034,1750000,721600,387400,666800,575400,1618600,2941600,724800,16443900,248400,8147800
2019-06-28,3337200,2059500,3325500,1522000,768900,5841200,1505400,2101100,814800,5443800,1228800,7048300,1917000,666900,2065200,748700,564500,2901200,6436979,1616000,12792400,5526900,16339900,4298900,6000000,4306557,2259300,39766800,3110551,2028100,2138200,1598500,1813500,1355600,2487000,5284100,3896100,19520100,1071700,14781300
2019-07-01,2890000,932000,1596500,810700,744300,1021100,785500,932700,624600,3161800,1145700,5526900,1569900,274300,915500,354800,536100,2318500,3533074,1041800,5872300,1950000,14976400,4072900,2000000,2519613,1697200,70975600,2208583,970800,750500,384000,950300,955500,1747100,4780700,1175800,16544100,261700,11437900
2019-07-02,2560800,682500,1525900,729500,635400,969300,1104900,786200,923800,2298100,745000,5747700,1508200,215300,948600,275400,369800,1679200,2520546,898500,4501200,1182600,8569200,2560200,2000000,1860258,1831000,40022800,2269265,1232000,731100,332600,914500,832300,1953000,2323600,825100,12188700,258600,10475400
2019-07-03,1599400,626300,816700,696600,379900,538500,812900,500500,590900,2291600,732900,2725800,643500,101900,606700,191100,217600,1222500,2019198,688500,3436300,1358900,7253700,1851200,2000000,1400157,910600,24663600,936643,980400,453900,306600,868500,456700,2171400,1532900,487300,9621900,239100,5246100
2019-07-05,2153500,732900,825200,569700,305600,572000,578200,542300,485000,3771900,616200,3458900,1019100,138900,501500,226700,256800,1082600,2232896,1063400,4652400,872500,8916300,2536400,2000000,2081638,1822700,39655200,977201,1316600,565200,263900,775100,515800,1739800,2032000,648800,10738200,174700,6880800
2019-07-08,1855700,787900,1971500,1006200,445200,957400,995300,791000,762000,2989300,523900,3505200,731600,166200,613000,265600,266900,1547000,2505484,1033500,4078100,1443800,9495100,3882900,1000000,2733219,2001400,32978800,1323024,1434300,1338600,256800,740600,530800,2359600,4734400,785200,14147100,193000,7876100
2019-07-09,2536200,926300,2025600,1124600,669400,812500,796800,961000,827500,3885600,701000,3955600,1003300,204100,1804000,343600,532900,2328200,3519999,1456100,4217400,1175700,10584900,3719600,2000000,5425176,3120900,34286000,2110956,1782500,1178400,383400,1065200,874000,3776700,3986900,1142100,16270200,198300,7863000
2019-07-10,2202900,1376500,1830700,848600,441400,1071700,828300,703100,942700,2392300,874200,4743500,993300,175000,1163400,321900,780300,2007400,2629539,1255000,4874400,1291000,7620900,4302200,2000000,3183393,1529300,45207600,1255531,1183600,661000,443400,916400,1074500,2020000,5638400,987600,13737000,221700,8077400
2019-07-11,2830900,813300,1590400,763100,506400,1068500,547100,880100,680900,2878200,578600,3548000,1140400,159200,1611800,359400,532300,2114900,2231013,1308200,5817400,921700,10376500,2977700,1000000,3366501,2035600,68256000,1457081,956700,961900,383000,720400,1422800,1771100,5307700,1081400,11689800,143000,6404000
2019-07-12,2209100,1272600,1379400,653100,361900,946400,799800,1379900,537600,2937500,745800,3974400,854900,344500,1182800,206700,469400,1497800,2914365,1184200,17780100,1079100,7347400,4814200,964000,3780197,1906600,50639200,1827982,1071200,1117000,298100,1338400,925000,2197800,4732000,830400,11229900,188800,6139000
2019-07-15,3026600,975400,1646900,701900,630200,1408900,584800,769800,569200,2487700,1072500,3739200,644300,177900,770500,255400,309500,1078100,2477242,869800,10038200,975200,5876100,4492200,2000000,2616250,1478100,28984000,1093301,1001100,1070400,374700,565100,864000,1619000,3174200,968600,10038000,258700,7116400
2019-07-16,3330500,1188200,1584500,599500,567200,592600,844700,1698400,645700,3485400,943000,4697600,651700,167300,932500,419600,447000,2223700,3634536,1512900,10214500,1421700,7132500,4722400,894800,4687004,2215800,34144400,1807961,1590300,1627500,332600,606800,744000,1647800,5276900,619000,10464600,151800,10197400
2019-07-17,2843700,1101700,1851500,1000900,704100,1241800,793100,2522400,558100,2775100,641500,3874200,1346000,163900,1026500,265800,399700,1895300,6343258,1273000,8862100,1604400,8264200,5159100,905200,3525090,2043900,34820400,1107646,1403300,1428100,355300,1011600,1049800,2405100,3671100,782400,8065500,249100,7419300
2019-07-18,2136500,736700,1427500,1160300,529000,1228100,960300,1570600,552600,2412700,925500,5770700,1961900,181500,985000,220500,330600,1828000,13276460,955400,6203100,2152600,11911800,5147100,1000000,2657273,2432000,44219200,1085045,1361300,2015500,273200,865300,849400,1637000,3847300,1181900,9670800,359500,11424500
2019-07-19,3987600,1455300,1550600,1245000,710900,1128800,943000,875800,626700,2417400,904400,4880900,1184400,266100,1801700,282300,439400,1501100,7626072,1402700,8340200,1496900,10355500,4190700,850800,2822919,4016600,34489600,1393716,1123000,2025200,361400,1279400,924300,1390000,3420400,1762900,11388900,292100,11243100
2019-07-22,3105700,1548900,1246800,855500,549900,781100,1296900,1012700,416100,2945000,768000,3275800,1277800,363400,845400,298900,513900,1734900,4280860,994100,12624800,2559300,12090700,4501200,935000,2397262,2922100,31594000,1281538,1147100,1077700,599600,989700,1418200,1575000,2850200,937900,13550700,330300,8368800
2019-07-23,2388900,818700,1966800,939000,579200,880600,1662900,860800,571700,3986700,1243700,4295300,1318500,354000,840500,266100,664200,1793900,3914341,1874700,5803600,4423100,33417900,5064200,892600,2823397,1914900,42817600,1141289,2710200,2019400,631900,997100,4099100,2395900,4304000,1170000,17262600,238200,8551200
2019-07-24,6052000,856800,1529100,1106400,842100,987800,1313600,2019700,598700,3246900,957400,4796900,1047600,364400,969100,440800,1675700,3422200,3088210,1427400,6838600,1833800,15633400,5989100,1000000,4224631,1497400,36623600,1058316,2002800,1629700,680500,1059300,2560700,2124200,3204700,1762000,12531900,431500,8260200
2019-07-25,3158300,781300,1488900,1292400,504400,1371400,1566100,1855100,588300,4383400,794900,4586800,1179800,546000,743000,238700,902300,1882600,3244797,2054400,8897800,1518300,19135000,4215100,1000000,8804952,1723900,39270000,1660901,2405600,1803700,1389800,894700,1458500,1816800,3603500,1620200,11554500,1148600,9083900
2019-07-26,4372900,930600,2323600,2272400,505200,1050400,962600,1344600,550100,4036200,793000,6971700,631600,319500,610800,212400,504700,1424200,3037898,2869100,4894600,1834300,11451900,4785700,1000000,4803256,1916300,27416000,1227254,1067800,1209500,564400,760700,781600,1505200,5315900,1165300,14187000,657700,7677300
2019-07-29,3568100,1074900,3026800,921600,525700,765500,1103200,1232600,722600,4635900,1033100,4377500,557300,336100,517000,220800,502900,1256600,2170973,1697600,7832000,1186300,12283900,3909600,1000000,3156124,1552400,24816000,2261525,1895200,1165100,552800,677200,644200,2269900,3328800,1034600,11239800,512600,7091900
2019-07-30,2697700,1056200,6616300,968200,579300,583800,973000,1437200,659500,5020600,1019800,3871700,624500,327400,617300,255300,427100,1300600,2753804,1552200,5509600,1493100,8127100,3981400,1000000,2366764,1693200,19777200,1411260,1212900,785600,393800,856400,628200,2200800,2733400,986500,9105600,559500,6961200
2019-07-31,5368700,1361500,5941500,2174000,1061800,2318400,2155200,3196600,2421900,5187400,1485500,7199500,913500,347700,1338100,721600,568500,2202400,3894153,1182300,8559200,1838700,16865500,5533400,1000000,3606897,2888500,35941600,2832840,2535100,815300,568000,2239600,983600,4220100,4470600,1951700,18633900,472200,13104600
2019-08-01,4429000,1568800,2526800,1486600,837200,1269300,1119900,2330500,697300,4618400,2801200,7928400,1113800,338000,1302500,356700,674900,3225500,6635824,1709700,7870700,1480900,19527200,5469600,2000000,2847915,2882200,42121200,1649652,2464000,1094500,561300,2297300,1734500,4134100,7100500,1173600,22365000,332600,17132800
